region,district,area
Volta,Afadzato South,Angeta
Volta,Ho West,Anfoeta Tsebi
Volta,North Dayi,Anfoega Akukome
Volta,Adaklu,Anfoe
Western,Prestea-Huni Valley,Anfoe
Volta,Ketu North District,Anfetu
Central,Mfatseman,Anfeo
Volta,Central Tongu,Anfen
Western,Prestea-Huni Valley,Anfejua
Western,Prestea-Huni Valley,Anfaja
Ashanti,Atwima Kwanwoma,Anensuja
Ashanti,Unknown,Anansu
Ashanti,Atwima Mponua,Anansu Number One
Ashanti,Asante Akim South District,Anemie
Western,Wassa Amenfi West,Anemaso
Upper East,Talensi-Nabdam,Andua
Western North,Aowin/Suaman,Andobrofu
North East,Chereponi,Ando
Bono,Dormaa,Antwirifo
Western,Prestea-Huni Valley,Anchesa
Western,Ahanta West,Anchenin
Western,Nzema East,Ankyernyin
Western,Prestea-Huni Valley,Anbuntem
Central,Abura/Asebu/Kwamankese,Anbobra
Greater Accra,Ada East,Anazome
Western,Unknown,Ano
Western North,Aowin/Suaman,Anaukrom
Western,Tarkwa Nsuaem,Anantanfro
Ashanti,Ahafo Ano South,Ananta
Ashanti,Sekyere Central,Ananso
Ashanti,Ahafo Ano South,Anankaso
Ashanti,Asante Akim North,Ananikrom
Central,Upper Denkyira West,Ananikrom
Ashanti,Unknown,Ananawini
Eastern,Akuapim South,Anamloampa
Eastern,Birim South,Anamasi
Western,Ahanta West,Kutike
Central,Asikuma/Odoben/Brakwa,Anamapenin
Upper East,North Builsa District,Namonsa
Ashanti,Ahafo Ano South,Tenkoran
Eastern,Nsawam Adoagyiri,Anakuma
Western,Wassa Amenfi Central,Anakum
Western,Secondi Takoradi,Anagyi
Western,Nzema East,Anagyi
Central,Awutu Senya East Municipal,Anofro
Upper East,Bawku Municipal District,Lamboya
Volta,Ho West,Amuzukofe
Volta,South Tongu District,Amuvianu
Volta,Unknown,Amutinu
Central,Upper Denkyira East,Amusiaso
Western,Wassa Amenfi Central,Amuni Akrofunso
Western,Wassa Amenfi Central,Amuni
Ashanti,Kumasi,Emena
Central,Gomoa East,Amumukwa
Western North,Unknown,Amumeri
Western North,Aowin/Suaman,Amumeri
Upper East,Unknown,Amulgare
Western,Mpohor,Amukrom
Central,Gomoa East,Amuanda
Central,Assin South,Amuakromakrofo
Central,Upper Denkyira East,Amoafo
Central,Gomoa West,Amuaba
Eastern,Birim North,Amua
Greater Accra,Ga East,Amrahia
Ashanti,Unknown,Amrada Fetish
Ashanti,Atwima Mponua,Amrada
Ashanti,Adansi South,Amponyase
Ashanti,Adansi South,Amponyase Nkwanta
Eastern,Kwahu East,Amprajei
Ashanti,Amansie Central,Amponya
Bono East,Kintampo South District,Ampoma
Eastern,Upper West Akim,Ampofukrom
Western,Wassa Amenfi Central,Ampofekrom
Central,Ajumako/Enyan/Essiam,Ampia Ajumako
Oti,Kadjebi,Ampeyo
Eastern,Birim South,Ampenkro
Central,Komenda/Edina/Eguafo/Abirem,Ampeni Point
Western North,Aowin/Suaman,Ampeni
Central,Komenda/Edina/Eguafo/Abirem,Ampeni
Bono East,Kintampo North Municipal District,Ampedu
Western,Unknown,Ampawu
Western,Nzema East,Ampansie
Eastern,Kwahu South,Ampam
Western,Prestea-Huni Valley,Ampakrom
Bono East,Techiman Municipal District,Ampade
Ashanti,Offinso Municipal District,Ampabame
Ashanti,Kumasi,Ampabame
Ashanti,Ejisu Juaben,Ampabami
Ashanti,Atwima Kwanwoma,Ampabame
Western,Unknown,Ampa
Western,Unknown,Amowe
Western North,Bodi,Amoyaw
Ashanti,Offinso Municipal District,Amowi
Upper East,Kassena Nankana,Amotanga
Western,Unknown,Ametano
Western,Jomoro,Amoswaso
Central,Twifo Hemang Lower Denkyira,Amosuakwanta
Central,Twifo Hemang Lower Denkyira,Amosua
Central,Awutu Senya,Amontidom
Central,Twifo Hemang Lower Denkyira,Amonikrom
Volta,North Tongu,Amoniete
Bono,Berekum,Amomaso
Bono East,Kintampo South District,Amoama
Western,Wassa Amenfi West,Amoako
Volta,Ho West,Amokofe
Ashanti,Atwima Mponua,Amoiso
Upper East,Bolgatanga Municipal District,Amogorebisi
Upper East,North Builsa District,Amodalga
Ashanti,Sekyere Afram Plains,Amobia
Bono,Dormaa,Amasu
Western,Ahanta West,Amawai
Central,Asikuma/Odoben/Brakwa,Amoanda
Central,Gomoa West,Amoanda
Western,Prestea-Huni Valley,Amoana
Central,Komenda/Edina/Eguafo/Abirem,Amoana
Ashanti,Bekwai,Amoamo
Ashanti,Sekyere Central,Amoamang
Western,Wassa Amenfi West,Amoamang
Western,Wassa Amenfi West,Amuaman
Central,Asikuma/Odoben/Brakwa,Amoakwa
Ashanti,Asante Akim North,Amoakutu
Western,Jomoro,Amoakuswaso
Ashanti,Atwima Nwabiagya,Amanokurom
Ashanti,Adansi South,Amoakokurom
Central,Twifo Ati-Morkwa,Amoakukrom
Ashanti,Afigya-Kwabre District,Amoako
Western,Wassa Amenfi Central,Amoakrom
Western North,Aowin/Suaman,Amoakrom
Western North,Sefwi Akontobra,Amoakokrom
Ashanti,Bekwai,Amoaful
Ashanti,Ejisu Juaben,Amoadu
Central,Assin South,Amoabin
Volta,Hohoe,Amle
Greater Accra,Ada East,Amlakpo
Ashanti,Atwima Mponua,Amankwasima
Western,Ellembelle,Amishibiebokaso
Central,Komenda/Edina/Eguafo/Abirem,Amisano
Central,Mfatseman,Amisakrom
Central,Unknown,Amisa River
Central,Asikuma/Odoben/Brakwa,Amipakwebi
Ashanti,Adansi South,Aminaso
Central,Twifo Hemang Lower Denkyira,Aminasi
Greater Accra,Ada East,Aminapa
Eastern,Birim North,Aminam Amanfrom
Greater Accra,Unknown,Blame
Volta,Central Tongu,Amiamukaw
Eastern,Ayensuano,Amiama
Central,Ajumako/Enyan/Essiam,Amia
Eastern,Ayensuano,Amfahun
Ashanti,Asante Akim South District,Amentia
Western North,Aowin/Suaman,Amenamakrom
Ashanti,Ahafo Ano South,Amakurom
Ashanti,Bosomtwe,Amekom
Volta,Ho West,Amedzofe Pass
Volta,Ho West,Amedzofe
Volta,South Tongu District,Ameduikaw
Central,Awutu Senya,Amedua
Volta,Ketu South District,Amedzikope
Volta,Afadzato South,Ameditoe
Volta,South Tongu District,Amedikukope
Eastern,Lower Manya Krobo,Amedika
Greater Accra,Shai Osudoku District,Amechekope
Volta,South Tongu District,Ameblikofe
Upper West,Lawra,Amburi
Upper West,Unknown,Ambalara
Central,Upper Denkyira West,Amayau
Western,Wassa Amenfi East,Amawkrom
Ashanti,Sekyere Afram Plains,Amawbra
Central,Komenda/Edina/Eguafo/Abirem,Amawafur
Eastern,Fanteakwa,Amate
Greater Accra,Ga West,Amasaman
Western,Wassa Amenfi Central,Amape
Central,Twifo Hemang Lower Denkyira,Amape
Eastern,West Akim,Amantran
Western,Mpohor,Amantin Dada
Bono East,Atebubu-Amantin District,Amantin
Western,Wassa Amenfi East,Amantin
Eastern,Birim Central,Amantem Nkwanta
Ashanti,Asante Akim North,Amantana
Eastern,Asuogyaman,Amantana
Western,Unknown,Amunsure
Western,Unknown,Amansuri Lagoon
Eastern,Akuapim North,Amanprobi
Central,Abura/Asebu/Kwamankese,Amanporo
Ashanti,Kwabre District,Amanpe
Eastern,Akuapim North,Amanokrom
Western,Prestea-Huni Valley,Amanmehwe
Eastern,Kwahu North,Amankwakrom
Ashanti,Ahafo Ano North,Amankwakrom
Western North,Aowin/Suaman,Amankwakrom
Western,Wassa Amenfi Central,Amankwa
Western,Prestea-Huni Valley,Amankrom
Ashanti,Offinso Municipal District,Amanin
Western North,Aowin/Suaman,Amanie
Eastern,Suhum/Kraboa/Coaltar,Amanhia
Eastern,East Akim,Amangfrom
Central,Asikuma/Odoben/Brakwa,Amanfupong
Western,Ahanta West,Amanful
Western North,Bia East,Amanfukrom
Central,Agona East,Amanfu
Central,Gomoa West,Amanfu
Eastern,New Juaben,Amanfro
Eastern,Yilo Krobo,Amanfro
Eastern,Akuapim North,Amanfro
Greater Accra,Shai Osudoku District,Amanfro
Greater Accra,Ga West,Amanfro
Greater Accra,Ga South,Amanfrom
Western,Prestea-Huni Valley,Amanfro
Oti,Biakoye,Amanforo
Central,Agona East,Amanfor
Central,Gomoa East,Amanfo
Western,Prestea-Huni Valley,Amanfinaso
Ashanti,Atwima Nwabiagya,Amanchia
Eastern,Ayensuano,Amanasi
Ashanti,Ahafo Ano South,Amanam
Greater Accra,Shai Osudoku District,Amanakpo
Ashanti,Amansie Central,Amamon
Western,Mpohor/Wassa East,Amamouhu
Ashanti,Bosome Freho,Amamoso
Greater Accra,Ga West,Amamole
Western,Prestea-Huni Valley,Amamboajo
Bono,Unknown,Amama Shelterbelt Forest Reserve
Eastern,Nsawam Adoagyiri,Amama
Volta,South Tongu District,Amakwadikope
Western,Wassa Amenfi East,Amakrom
Western North,Aowin/Suaman,Amakrom
Eastern,Ayensuano,Amakokrom
Central,Twifo Ati-Morkwa,Amakofikrom
Western North,Sefwi-Wiawso,Amafie
Ashanti,Adansi South,Amadroasi
Western,Ellembelle,Alemikezo
Western,Ellembelle,New Aluku
Volta,Agotime Ziope,Alopui
Volta,Akatsi South,Alopa
Greater Accra,Ada East,Alokpe
Western,Unknown,Alokapoketi
Volta,Central Tongu,Aloi
Volta,Ketu North District,Alovi
Upper East,Kassena Nankana West,Alogenia
Western,Jomoro,Elonyi
Western,Jomoro,Aloazure
Western,Unknown,Elehyele
Western North,Aowin/Suaman,Aliebo
Upper East,Builsa South,Alidem
Northern,Tolon District,Alfayinga
Northern,Mion,Alfayili
Upper East,Bawku West,Alenzua
Western,Jomoro,Alengenzure
Western,Jomoro,Alenda Wharf
Western,Jomoro,Alenda
Eastern,Ayensuano,Alemakrowa
Western,Jomoro,Alawuri
Ashanti,Amansie Central,Alata
Western,Ellembelle,Aloakpoke
Western,Jomoro,Alakwababo
Volta,Keta,Alakple
Volta,Afadzato South,Alakpeti
Volta,Akatsi District,Alakpa
Western,Jomoro,Alakabo
Greater Accra,Accra,Alajo
Western,Mpohor,Alaham
Volta,Ketu South District,Alagbakofe
Volta,North Tongu,Alabonyu
Volta,North Tongu,Alablaboi
Western,Ahanta West,Bebianiha
Western,Ahanta West,Esile
Central,Gomoa East,Akweti
Greater Accra,Accra,Akweteman
Ashanti,Asante Akim North,Akwesinunu
Central,Twifo Hemang Lower Denkyira,Akwesijankrom
Ashanti,Ahafo Ano North,Akwesiasi Two
Ashanti,Ahafo Ano North,Akwasiase
Ashanti,Adansi South,Akwesiakwesi
Central,Cape Coast,Akweku
Central,Abura/Asebu/Kwamankese,Akwekrom
Volta,South Tongu District,Akwekope
Greater Accra,Ga West,Akweiman
Central,Gomoa East,Akwechi
Eastern,Fanteakwa,Akwawa
Eastern,Asuogyaman,Akwatin
Eastern,Denkyembour,Akwatia
Ashanti,Unknown,Akwaten
Ashanti,Sekyere Afram Plains,Akwasu
Bono East,Kintampo South District,Akwasijikrom
Ashanti,Amansie West,Akwasi Akwasiso
Eastern,Kwahu East,Akwaseho
Central,Gomoa East,Akwasa
Eastern,Yilo Krobo,Akwapim
Eastern,Asuogyaman,Akwapim
Eastern,Akyemansa,Akwapim
Western,Tarkwa Nsuaem,Akwantrakrom
Western North,Sefwi Akontobra,Akontobra
Central,Ekumfi,Akwansakokro
Western,Mpohor/Wassa East,Akwanjakrom
Greater Accra,Tema Metropolitan District,Akwani
Volta,North Tongu,Akwangi
Eastern,Asuogyaman,Akwamu
Central,Gomoa East,Akwamu
Central,Ajumako/Enyan/Essiam,Akwamasi
Eastern,Upper West Akim,Akwaman
Central,Ekumfi,Akwakrom
Ashanti,Bosomtwe,Akwaduo
Western North,Sefwi Akontobra,Nkwadumu
Eastern,West Akim,Akwadum
Western,Prestea-Huni Valley,Akwadum
Central,Agona West,Akwachi
Central,Assin North,Akwabuaso
Eastern,Atiwa,Akwaboso
Ashanti,Atwima Nwabiagya,Akwaboa
Central,Agona West,Akwabo
Ashanti,Amansie Central,Akwabawso
Ashanti,Asante Akim North,Akutuasi
Ashanti,Amansie Central,Akutuoase
Western,Mpohor/Wassa East,Akutuasi
Ashanti,Asante Akim South District,Akutuasi
Western,Wassa Amenfi Central,Akutu
Ashanti,Adansi South,Akutreso
Ashanti,Bekwai,Akutiasi
Ashanti,Atwima Mponua,Akotoasubiente
Volta,North Tongu,Akuta
Western,Nzema East,Akusuno
Western,Ellembelle,Akosuno
Western,Jomoro,Akusuansa
Eastern,Lower Manya Krobo,Akuse
Volta,Afadzato South,Akusame
Western,Unknown,Akori
Upper East,Bawku West,Akuri
Ashanti,Sekyere East,Akuokrom
Bono,Dormaa East,Akontaanim
Ashanti,Ejisu Juaben,Akuntanasi
Ashanti,Amansie West,Akuntam
Western North,Aowin/Suaman,Nyamebekyere
North East,Chereponi,Akunoyi
Upper East,Kassena Nankana,Akunkongu
Upper East,Bongo District,Akunka
Western,Nzema East,Akunjasrere
Upper East,Bongo District,Akunduo
Upper East,Kassena Nankana,Akundaw
Western,Wassa Amenfi West,Akumkrom
Eastern,Upper Manya Krobo,Akumaso
Volta,South Tongu District,Akumanikope
Ashanti,Offinso North,Akumadan
Bono East,Nkoranza South,Akuma
Ashanti,Sekyere Central,Akuma
Ashanti,Ejisu Juaben,Akuma
Eastern,Nsawam Adoagyiri,Akufu
Eastern,Nsawam Adoagyiri,Akufo
Volta,South Tongu District,Akudome
Central,Awutu Senya,Akubrefa
Volta,Akatsi South,Akuavi
Bono,Jaman North,Akuata
Eastern,Nsawam Adoagyiri,Akuamu
Eastern,Birim Central,Akuamasi
Central,Ajumako/Enyan/Essiam,Aku
Eastern,Upper Manya Krobo,Akruso
Western North,Sefwi-Wiawso,Akruofo
Central,Mfatseman,Akruma
Bono East,Nkoranza North District,Akrujua
Eastern,Akyemansa,Akrubutui
Eastern,Akuapim South,Akrubi
Ashanti,Ejisu Juaben,Akrowi
Eastern,Birim South,Akroso
Ashanti,Atwima Nwabiagya,Akropon
Ashanti,Amansie West,Akropong
Eastern,Atiwa,Akropong
Eastern,Akuapim North,Akropong
Central,Upper Denkyira East,Akropon
Western,Wassa Amenfi East,Wassa Akropon
Central,Assin North,Akropong
Central,Awutu Senya,Akropong
Central,Gomoa West,Akropong
Central,Mfatseman,Akropong
Western,Ellembelle,Akropon
Ashanti,Adansi North,Akromaso
Western North,Aowin/Suaman,Akromantu
Western,Wassa Amenfi East,Akromanto
North East,Chereponi,Akromabra
Central,Asikuma/Odoben/Brakwa,Akroma
Ashanti,Asokore Mampong Municipal,Akrom
Ashanti,Adansi North,Akrokerri
Ashanti,Adansi North,Old Akrofuom
Ashanti,Adansi South,Akrofuom
Central,Upper Denkyira West,Akrofuom
Central,Assin South,Akrofuom
Eastern,Atiwa,Akrofufu
Central,Asikuma/Odoben/Brakwa,Akrofufu
Volta,Ho,Akrofu
Bono East,Techiman Municipal District,Akrofrom
Western,Wassa Amenfi East,Ekrofomu
Ashanti,Afigya-Kwabre District,Akuroforom
Ashanti,Atwima Nwabiagya,Akrofrom
Ashanti,Adansi North,Akrofrom
Central,Twifo Hemang Lower Denkyira,Akrofrom
Bono,Berekum,Akrofro
Central,Abura/Asebu/Kwamankese,Akrofro
Bono East,Kintampo North Municipal District,Akrofonso
Ahafo,Asunafo North,Akrodie
Ashanti,Sekyere Afram Plains,Akrochire
Ashanti,Asante Akim South District,Akrochere
Eastern,Asuogyaman,Akrobosu
Eastern,Asuogyaman,Akrobawnia
Central,Mfatseman,Akrobadzi
Central,Assin South,Akrampa
Central,Gomoa East,Akramang
Greater Accra,Ga West,Akranman
Western,Ahanta West,Ekalesuazo
Central,Agona East,Akrabong
Central,Awutu Senya,Akrabong
Ashanti,Asante Akim North,Akrabo
Central,Ekumfi,Akra
Greater Accra,Ga East,Akpoman
Volta,Agotime Ziope,Akpokofe
Volta,Adaklu,Akpliglui
Greater Accra,Ada West,Akplabanya
Volta,Ketu North District,Akpotoenu
Volta,South Dayi,Akpato
Volta,Afadzato South,Akparafe
Eastern,Yilo Krobo,Akpamu
Eastern,Asuogyaman,Akpalegakofe
Greater Accra,Ada West,Akpakpavikope
Volta,Ho,Akpakope
Volta,Afadzato South,Akpadaho
Volta,Ho,Akovief
Eastern,Asuogyaman,Akotyua
Eastern,Upper Manya Krobo,Akotui
Greater Accra,Ga South,Koteaku
Eastern,Ayensuano,Akotuako
Central,Ajumako/Enyan/Essiam,Akotuagwa
Volta,North Tongu,Akototime
Western,Mpohor/Wassa East,Akotosu
Central,Assin North,Akotoso
Eastern,Birim South,Akotoso
Greater Accra,Ga West,Akotoshi
Ashanti,Amansie West,Akotopeso
Western,Prestea-Huni Valley,Akotom
Central,Komenda/Edina/Eguafo/Abirem,Akotochir
Western,Ellembelle,Akoto
Ashanti,Amansie Central,Akotiantra
Central,Upper Denkyira East,Akotem
Ashanti,Amansie Central,Aketekyiso
Western North,Unknown,Kotokyi
Central,Assin North,Akotadai
Ashanti,Atwima Kwanwoma,Akosomo
Western,Wassa Amenfi East,Akosuakroa
Ashanti,Sekyere Afram Plains,Akosua
Eastern,Lower Manya Krobo,Akosomo
Eastern,Asuogyaman,Akosombo Dam
Eastern,Asuogyaman,Akosombo
Ahafo,Unknown,Akosan
Eastern,Birim South,Akosa
Western,Nzema East,Akoro
Upper East,Bongo District,Akorisi
Eastern,Birim Central,Akoraso
Central,Agona West,Akoraso
Eastern,Suhum/Kraboa/Coaltar,Akorabu Kukua
Western,Tarkwa Nsuaem,Akontanse
Central,Cape Coast,Akong
Central,Assin North,Akonfudi
Ashanti,Atwima Mponua,Akonchi
Central,Upper Denkyira East,Akonbuo
Eastern,Asuogyaman,Akomutoko
Ashanti,Sekyere East,Akomnyina
Central,Awutu Senya,Akomato
Volta,Ho West,Akolito
Volta,Akatsi South,Akoli
Central,Agona East,Akokwasa
Bono East,Atebubu-Amantin District,Akokua
Central,Gomoa West,Akokotintin
Greater Accra,Ga East,Akokome
Eastern,Upper Manya Krobo,Akokoma
Ashanti,Asante Akim South District,Akokofori
Ashanti,Bosomtwe,Akokofe
Ashanti,Adansi North,Akokodem
Central,Assin South,Akokobenumsu
Ashanti,Asante Akim South District,Akoko Benumnsu
Ashanti,Sekyere East,Akokoaso
Eastern,Akyemansa,Akokoaso
Eastern,East Akim,Akoko
Eastern,Upper Manya Krobo,Akohia
Eastern,New Juaben,Akodum
Western,Wassa Amenfi Central,Akodum
Western,Wassa Amenfi East,Akwadakrom
Eastern,Akuapim North,Akode
Eastern,Birim North,Akoasi
Central,Mfatseman,Akoanso
Volta,Keta,Aklofudzi
Volta,Ho West,Akloba
Greater Accra,Ada East,Akligbekope
Volta,Afadzato South,Akleme
Volta,North Tongu,Aklaya
Volta,North Tongu,Aklamadaw
Volta,Central Tongu,Aklakbanu
Volta,Ho West,Akitikofe
Northern,Mion,Akinajile
Eastern,Birim South,Akim Swedru
Eastern,Akyemansa,Akim Nsese
Eastern,West Akim,Akimboso
Volta,Akatsi South,Akeve
Eastern,Fanteakwa,Aketswia
Western,Ahanta West,Prusi Akatakyi
Western,Prestea-Huni Valley,Aketeche
Eastern,Upper Manya Krobo,Aketebwo
Bono,Wenchi,Akete
Central,Unknown,Akesoa
Ashanti,Amansie Central,Akesu
Ashanti,Asante Akim South District,Akesakrom
Central,Assin North,Akenkawso
Eastern,Birim South,Akenkawso
Central,Twifo Ati-Morkwa,Akenkasi
Ashanti,Adansi North,Akekrom
Volta,Akatsi South,Akblokofe
Volta,North Tongu,Akbekpo
Volta,Keta,Akbatebe
Volta,Ketu North District,Akbakofe
Oti,Biakoye,Akayao
Western,Wassa Amenfi East,Akoriso
Eastern,Yilo Krobo,Akawli
Ashanti,Amansie Central,Akawkawso
Central,Agona East,Akawkawakawkaw
Western,Wassa Amenfi Central,Akautaucheri
Volta,Akatsi South,Akatsi
Eastern,Upper Manya Krobo,Akatri
Volta,Ketu South District,Akato
Central,Mfatseman,Akatichua
Western North,Bia,Akati
Western,Nzema East,Akaternu
Central,Komenda/Edina/Eguafo/Abirem,Akatebura
Eastern,Upper Manya Krobo,Akatawia
Ashanti,Amansie Central,Akasanimu
Upper East,Garu District,Akaratesi
Ashanti,Obuasi,Akaporiso
Eastern,West Akim,Akantin
Central,Upper Denkyira East,Akantem
Western,Mpohor/Wassa East,Akwaku
Ashanti,Atwima Mponua,Akantansu
Ashanti,Amansie West,Akantamasi
Western,Nzema East,Akanko
Central,Upper Denkyira West,Akankasi
Central,Assin North,Akankasi
Central,Assin South,Akankasi
Oti,Krachi Nchumuru,Akaniem
Oti,Biakoye,Akaniem
Volta,Ketu North District,Akancha
Upper East,Bongo District,Akanaba
Volta,South Tongu District,Akamukope
Upper East,Kassena Nankana,Akamo
Western,Tarkwa Nsuaem,Akamimi
Bono,Unknown,Akomili
Volta,Ketu South District,Akame
Western,Wassa Amenfi East,Akumakrom
Volta,South Tongu District,Akalove
Western North,Aowin/Suaman,Akakrom
Ashanti,Amansie Central,Ankaakur
Volta,Keta,Akakagbo
Volta,South Dayi,Akajakpe
Ashanti,Unknown,Akaisu
Western,Wassa Amenfi Central,Akahun
Volta,Ketu South District,Akaglakofe
Eastern,Asuogyaman,Akagla
Eastern,Asuogyaman,Akada
Western,Ellembelle,Akachiama
Western North,Aowin/Suaman,Akabuka
Western,Unknown,Aka
Oti,Jasikan,Aka
Central,Upper Denkyira East,Ajwitechi
Eastern,West Akim,Ajwisaim
Ashanti,Ejisu Juaben,Ajwinasi
Ashanti,Bosomtwe,Ajwinasi
Ashanti,Bekwai,Edwenase
Western,Prestea-Huni Valley,Ajwinasi
Eastern,Upper Manya Krobo,Ajwenso
Ashanti,Bosomtwe,Ajusua
Central,Upper Denkyira East,Ajuom
Ashanti,Adansi North,Ajunkwaso
Western,Wassa Amenfi East,Ajumum
Western,Tarkwa Nsuaem,Ajumanim
Central,Upper Denkyira East,Adwuman
Ashanti,Kwabre District,Adwuman
Ashanti,Atwima Mponua,Ajuman
Ashanti,Bosomtwe,Adwumam
Ahafo,Asunafo South,Adwuman
Western,Tarkwa Nsuaem,Ajuman
Central,Ajumako/Enyan/Essiam,Ajumako
Western,Ahanta West,Edwumako
Ashanti,Afigya-Kwabre District,Adwumakasekese
Ashanti,Kwabre District,Adwumakasekese
Western North,Juaboso,Adwumadiem
Western North,Aowin/Suaman,Adwoam Number One
Western North,Unknown,Mete
Western North,Bia,Adwufia
Central,Assin South,Ajueso
Western,Unknown,Adwewura
Bono East,Techiman Municipal District,Ajuasika
Western,Jomoro,Ajuan
Ashanti,Bosomtwe,Ajuafo
Eastern,Akyemansa,Ajuafo
Western,Ahanta West,Adwowa
Western,Unknown,Ajopa
Western,Prestea-Huni Valley,Ajopa
Volta,Central Tongu,Ajokwe
Ashanti,Unknown,Ajoku
Eastern,Asuogyaman,Ajobom
Volta,Ho West,Ajlagokofe
Greater Accra,Ledzekuku-Krowor,Ajiringano
Western,Wassa Amenfi West,Ajireso
Western,Wassa Amenfi East,Mmofra Mfa Adwen
Western,Wassa Amenfi Central,Ajinsem
Central,Upper Denkyira East,Ajimpoma
Eastern,Akuapim South,Ajimenti
Western,Tarkwa Nsuaem,Ajikomkrom
Volta,North Tongu,Ajiho
Western North,Aowin/Suaman,Ajiekrom
Western,Jomoro,Ajibaboka
Western North,Aowin/Suaman,Ajianso
Western,Nzema East,Ajesokese
Western,Ellembelle,Ajesi
Western,Jomoro,Ajesa
Greater Accra,Ga West,Adzen Kotoku
Eastern,Birim North,Ajenjua
Ashanti,Adansi South,Ajenasi
Eastern,Birim South,Ajenasi
Central,Twifo Ati-Morkwa,Ajenasi
Western,Wassa Amenfi Central,Ajenasi
Eastern,Lower Manya Krobo,Ajenakonawpie
Eastern,Asuogyaman,Ajenadawm
Eastern,Asuogyaman,Ajena
Eastern,Akuapim South,Ajena
Western,Ahanta West,Egyembra
Ashanti,Offinso Municipal District,Agyempra
Eastern,Yilo Krobo,Ajekpo
Volta,North Tongu,Ajekofe
Ashanti,Atwima Nwabiagya,Ajeikrom
Central,Komenda/Edina/Eguafo/Abirem,Ajeikrom
Western,Wassa Amenfi West,Ajeikrom
Eastern,Nsawam Adoagyiri,Ajeiagbo
Western,Mpohor,Ajei
Eastern,Fanteakwa,Ajayekrom
Central,Gomoa East,Ajawasan
Western,Prestea-Huni Valley,Ajaw
Volta,Adaklu,Ajavu
Ashanti,Asante Akim North,Ajareago
Eastern,East Akim,Ajapoma
Western,Wassa Amenfi Central,Ajanoa
Eastern,Akuapim South,Ajankiti
Greater Accra,Ga East,Ajangote
Ashanti,Bekwai,Adamasu
Eastern,Upper Manya Krobo,Ajaman
Western,Wassa Amenfi East,Ajakukuso
Volta,Keta,Ajakpleji
Greater Accra,Ada East,Ajakpakope
Greater Accra,Shai Osudoku District,Ajakope
Volta,South Tongu District,Ajake
Western,Wassa Amenfi Central,Ajakamanso
Greater Accra,Shai Osudoku District,Ajaikope
Eastern,Ayensuano,Ajademan
Western,Tarkwa Nsuaem,Ajabinkrom
Western,Unknown,Ayire
Western North,Aowin/Suaman,Aiyipakrom
